ACOUST_ANA_DESCR,DESCRIPTION,COMMENTS,frequency,ArticleID,StudyID,Title,Authors,Year_publication,Article,SAMPLE_SIZE_SZ,SAMPLE_SIZE_HC,PITCH_F0_HC_M,PITCH_F0_HC_SD,PITCH_F0_SZ_M,PITCH_F0_SZ_SD,PITCH_F0SD_HC_M,PITCH_F0SD_HC_SD,PITCH_F0SD_SZ_M,PITCH_F0SD_SZ_SD,pitch_f0_variability
"Each subject participated in two experimental sessions. The
first session involved the recording of the participant’s voice","Words duratiion, Mean pitch, mean intensity",NA,hz,27,28,Emotional self-other voice processing in schizophrenia and its relationship with hallucinations: ERP evidence.,"Pinheiro AP, Rezaii N, Rauber A, Nestor PG, Spencer KM, Niznikiewicz M.",2017,Pinheiro et al. (2017),15,16,136.38333333333333,30.44,148.04333333333332,27.593333333333334,NA,NA,NA,NA,NA
"Each interview was recorded using separate Uher lavaliere
microphones, input to a Uher CR210 stereo cassette
tape recorder Both speech segments for each subject were
then recorded from cassette tape onto a Revox A700 reelto-
reel tape recorder Outside noise was filtered from the
original cassette tapes with a filter attached to the Revox
tape recorder The reel-to-reel tape of each speech sample
was played into a Frakjaer-Jensen Trans Pitchmeter coupled
to a Honeywell 960C Visicorder Oscillograph, which produced
a duplex Oscillogram record. Output was recorded
on Honeywell Visicorder recording paper at a rate of 100 mm/s Speech was plotted on the recording paper m the
shape of wave forms corresponding to fundamentals and
intensities of pitch and amplitude The absence of speech
was plotted on the recording paper as straight lines. The parsed speech segments were compared to the speech
record on the visicorder paper in order to identify the
locations of silent hesitations in each speech sample Silent
hesitations longer than 250 ms were measured from the
length of straight lines on the recording paper Following
the procedure of Rochester et al (1977), conventional
hesitations were denned as those pauses that preceded or
followed the first word of an independent clause Idiosyncratic
hesitations were defined as hesitations that occurred
in any other location in the clause The length of all conventional
hesitations, idiosyncratic hesitations, and total
speech time was recorded separately for each clause in
order to obtain measures of pause/speech ratios. Hesitation ratios were computed by dividing
the total hesitation durations per subject by
total speech duration per subje","Pause duration, pause pecentage",NA,NA,28,29,Hesitation patterns in the speech of thought-disordered schizophrenic and manic patients.,"Resnick, H. S., & Oltmanns, T. F.",1984,Resnick et al. (1984),10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Subjects’ comments were audiotaped
and transcribed for analyses. The present study
examines paralinguistic characteristics of speech of psychiatric patients in terms of temporal
factors which include initiative time latency (ITL), i.e., period of time elapsing before subject
speaks about target stimulus, and duration of utterance (DOU), i.e., total time subject
speaks out of speech time allotted, verbal productivity or word-count (WC), and vocal
characterizers (VC) which include laughing, muttering, voice-breaking, muffled sound,
whispering and vocal segregate.","Speech rate, speech percentahe and response latency",NA,NA,29,30,Paralinguistic characteristics of speech in schizophrenics and depressives.,"Mandal, M. K., Srivastava, P., & Singh, S. K.",1990,Mandal et al. (1990),40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The speech sample was digitally audiorecorded,
transcribed and coded by the first authorwho was
blind to the participants' identity and health status. Coding
procedures were run along the following lines. The number
of uttered words, speech time and words per minute
(speech fluency) were chosen as general production
indices",Speech rate,NA,NA,30,31,Specific linguistic and pragmatic deficits in Italian patients with schizophrenia,"Tavano, A., Sponda, S., Fabbro, F., Perlini, C., Rambaldelli, G., Ferro, A., ... & Brambilla, P.",2008,Tavano et al. (2008)_1,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The speech sample was digitally audiorecorded,
transcribed and coded by the first authorwho was
blind to the participants' identity and health status. Coding
procedures were run along the following lines. The number
of uttered words, speech time and words per minute
(speech fluency) were chosen as general production
indices",Speech rate,NA,NA,30,31,Specific linguistic and pragmatic deficits in Italian patients with schizophrenia,"Tavano, A., Sponda, S., Fabbro, F., Perlini, C., Rambaldelli, G., Ferro, A., ... & Brambilla, P.",2008,Tavano et al. (2008)_2,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Narrations were
digitally recorded and subsequently transcribed
verbatim by two appropriately trained raters (C.P.
and M.G.) including phonological fillers, pauses
and false starts.",Speech rate,NA,NA,31,32,"Linguistic production and syntactic
comprehension in schizophrenia and bipolar
disorde",Perlini et al .,2012,Perlini et al. (2012),30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The conversations were tape-recorded in stereo, and were
recorded also on video-tape so that visual interaction could be measured (Rutter, 1976). Verbatim transcripts
of the conversations were made from the audio recordings and were checked by the author before being
typed. The number and word length of utterances, and the total number of words spoken by each subject
were scored from the transcript, as were the number of floor wins, floor changes and occurrences of
simultaneous speech, the incidences of questions and accompaniment and acknowledgement signals,* and the filled pause and speech disturbance* ratios, for which the scoring system of Mahl (1956) was used. The
durations of speech, simultaneous speech, and silence were measured by an event-recording system (Rutter,
1976), in which trained observers listened to the recordings while simultaneously reading the transcripts, and
scored speech by a push-button arrangement. The remaining measure, speech rate, was calculated by
dividing the subject’s total number of words by the total duration of his speech over the whole conversation.","Speech rate, speech %,",NA,NA,32,33,Speech patterning in recently admitted and chronic long‐stay schizophrenic patients.,"Rutter, D. R.",1977,Rutter et al. (1977a)_1,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The conversations were tape-recorded in stereo, and were
recorded also on video-tape so that visual interaction could be measured (Rutter, 1976). Verbatim transcripts
of the conversations were made from the audio recordings and were checked by the author before being
typed. The number and word length of utterances, and the total number of words spoken by each subject
were scored from the transcript, as were the number of floor wins, floor changes and occurrences of
simultaneous speech, the incidences of questions and accompaniment and acknowledgement signals,* and the filled pause and speech disturbance* ratios, for which the scoring system of Mahl (1956) was used. The
durations of speech, simultaneous speech, and silence were measured by an event-recording system (Rutter,
1976), in which trained observers listened to the recordings while simultaneously reading the transcripts, and
scored speech by a push-button arrangement. The remaining measure, speech rate, was calculated by
dividing the subject’s total number of words by the total duration of his speech over the whole conversation.","Speech rate, speech %,",NA,NA,32,33,Speech patterning in recently admitted and chronic long‐stay schizophrenic patients.,"Rutter, D. R.",1977,Rutter et al. (1977a)_2,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The conversations were tape-recorded in stereo, and were
recorded also on video-tape so that visual interaction could be measured (Rutter, 1976). Verbatim transcripts
of the conversations were made from the audio recordings and were checked by the author before being
typed. The number and word length of utterances, and the total number of words spoken by each subject
were scored from the transcript, as were the number of floor wins, floor changes and occurrences of
simultaneous speech, the incidences of questions and accompaniment and acknowledgement signals,* and the filled pause and speech disturbance* ratios, for which the scoring system of Mahl (1956) was used. The
durations of speech, simultaneous speech, and silence were measured by an event-recording system (Rutter,
1976), in which trained observers listened to the recordings while simultaneously reading the transcripts, and
scored speech by a push-button arrangement. The remaining measure, speech rate, was calculated by
dividing the subject’s total number of words by the total duration of his speech over the whole conversation.","Speech rate, speech %,",NA,NA,32,34,Speech patterning in recently admitted and chronic long‐stay schizophrenic patients.,"Rutter, D. R.",1977,Rutter et al. (1977b),22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The speech sample was audiotaped, and later transcribed and
proofread.
Transcriptions were then examined individually to determine the number
of positive and negative emotions words uttered during the self-description
task. Each electronic transcription was first scrutinised using the Linguistic
Inquiry and Word Count (LIWC; Pennebaker, Francis, & Booth, 2003), a
computer software program that analyses text files using a specified
dictionary list and produces a word count output",Speech rate,NA,NA,33,35,Emotion word use in the conversational speech of schizophrenia patients.,"St-Hilaire, A., Cohen, A. S., & Docherty, N. M",2008,St-Hilaire et al. (2008),48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Subjects completed a 20-min recorded interview 
in which they describe happy, sad and neutral 
experiences. The interviews were analyzed using 
VOXCOM(Table2), a computerized method of 
acoustic analysis described elsewhere in the literature(
Alpert et al., 1986). Alpert et al.(1989)have 
applied VOXCOM as a reliable and objective 
measure of the negative syndrome in schizophrenia, 
and in particular to provide vocal markers 
for ratings of flat affect and alogia(Alpert et al., 
1995a,b). 

Table2 
VOXCOM: Subscales of acoustic analysis 

Subscale Acoustic item 
UTTERANCE duration of average vocalization. 
INFLECTION pitch variance. 
SPEECH RATE number of peaks/second of speech. 
PAUSE within and between clause pauses. 
DYAD turn taking and switching pauses. 
EMPHASIS variation in syllable loudness.","UTTERANCE duration, INFLECTION, SPEECH RATE, 
pauses duration,
EMPHASIS",NA,NA,34,36,The relationship between affect expression and affect recognition in schizophrenia. S,"Shaw, R. J., Dong, M., Lim, K. O., Faustman, W. O., Pouget, E. R., & Alpert, M.",1999,Shaw (1999),30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The speech samples were
audiorecorded, transcribed, and rated for frequency of missing
referents, that is, references that were unclear in meaning because
the referents were absent.",Speech rate,NA,NA,35,37,"Missing referents, psychotic symptoms, and discriminating the internal from the externalized.","Docherty, N. M.",2012,Docherty et al. (2012),53,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A trained researcher, blind to clinical status and not
present during assessment, transcribed from videotapes
the mother’s speech utterance-by-utterance during the
interaction. The content of all transcripts, and the total
number of utterances and words per utterance calculated,
were independently verified. Videotapes, with
their transcripts, were examined for the following
characteristics: speech complexity (complete repetition,
continuity of semantic reference); syntax (interrogatives,
imperatives, declaratives); interaction reciprocity
(infant focus, negativity); songs and rhymes, and
deviations in prosody/conte",Speech rate,NA,NA,36,38,Content and style of speech from mothers with schizophrenia towards their infants.,"Wan, M. W., Penketh, V., Salmon, M. P., & Abel, K. M.",2008,Wan et al. (2008),15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR,"Pause duration, pause percentage",NA,NA,37,39,Hesitations as clues to failures in coherence: A study of the thought-disordered speaker.,"Rochester, S. R., Thurston, S., & Rupp, J.",1977,Rochester et al. (1977),40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The acoustic analyses were performed on the Giessen
Speech Analysis System, a PDP 1 l/35 based system for digital speech analysis.
All of the patients’ vocalizations during the first 4 min of an interview were
digitized with a sampling rate of 16,384 Hz, using an anti-aliasing filter cut-off
frequency of 6 Khz and stored on digital tape as data blocks of 62.5 msec each.
Silent pauses were eliminated using a threshold detection program (Helfrich,
1980). By means of the autocorrelation method,f, was extracted for each data
block and then averaged. Power spectra were calculated for successive data
blocks using hardware fast Fourier transform (FFT) processing. The mean of
these spectra yielded the long-term spectrum that was partitioned into 13
one-third octave bands ranging from 260 Hz (to exclude the region off0 energy
variation) to 5760 Hz. Since the gain setting during recording was not controlled,
the energy values of all 15 bands were normalized to allow for comparison
between patients and interviews.
To check on the accuracy off” extraction using fixed-length windows of 62.5
msec, the start of the respective data blocks was shifted by a constant factor in a
reliability analysis, andf, values for the original and the shifted blocks were
correlated over the whole speech sample. Correlation coefficients ranged from
0.96 to 0.98, and it seems safe to assume that thef, of the speech waves was
extracted with reasonable accuracy.
The reliability of the long-term spectra was tested by means of an odd-even
method. For each patient and tinterview two separate long-term spectra were
computed; one based only on the odd data blocks, the other only on the even.
The energy difference between corresponding one-third octave bands proved to
be very small (less than 7% deviation).",f0 mean,NA,NA,38,40,Vocal indicators of psychiatric treatment effects in depressives and schizophrenics.,"Tolkmitt, F., Helfrich, H., Standke, R., & Scherer, K. R. .",1982,Tolkmitt (1982),11,NA,NA,NA,211.167,NA,NA,NA,NA,NA,NA
"Las muestras fueron transcritas usando CLAN6, que es un
programa computarizado de análisis de lenguaje acorde con
las convenciones de transcripción en formato CHAT (códigos
de trascripción para codificar todas las variaciones que
se hacen sobre las estructuras prototítipas del lenguaje como,
por ejemplo, repeticiones, reformulaciones, errores discursivos,
pausas, etc.); permite hacer análisis de diversidad lexical,
análisis morfológico, sintáctico y de cohesión y coherencia
del discurso, así como marcar las alteraciones en la fluidez
y codificar los errores en el habla desde el nivel segmental
o fonológico hasta el nivel macroestructural del discurso. La
finalidad de uso de estos dos programas es establecer una
comparación entre la prosodia y el análisis de discurso de cada uno de los sujetos, y analizar tanto los aspectos suprasegmentales
del habla como la forma y el contenido del discurso.
Para este trabajo se analizan las siguientes variables
(tabla 2):
• Frecuencia fundamental: expresada en herzios, fisiológicamente
está determinada por el número de vibraciones por
segundo de los pliegues vocales; corresponde a lo que psicoacústicamente
llamamos tono.
• Intensidad: expresada en decibelios, fisiológicamente determinada
por la presión de aire exhalado por los pulmones;
corresponde a lo que psicoacústicamente llamamos volumen.
• Velocidad: velocidad del habla determinada por el número
de sílabas por segundo.","F0 mean, intensity mean",NA,NA,39,41,"Spontaneous speech prosody and discourse analysis in schizophrenia and Fronto Temporal Dementia (FTD) patients. colombiana de psiquiatria, 44(1), 13-19.","Martínez, A., Felizzola Donado, C. A., & Matallana Eslava, D. L.",2015,Martinez e al. (2015),6,NA,NA,NA,171.37166666666667,57.66021797276406,NA,NA,NA,NA,NA
"A series of audiorecordings of participants' speech was obtained
using a Tascam DR-08 recorder set to the following specifications: (1)
ENCODING: PCM 16-bit 44.1 kHz monaural, (2) LOW CUT: Low 40 Hz,
(3) REC EQ: Off, (4) microphone folded to a closed position, (5) builtin
stand open, and (6) device placed on a table in front of the participant
with the microphone about 12 in from him or her.We used three elicitation
tasks for spontaneous speech and two for reading aloud, as
shown in Table 2. Fromthese five types of audiorecorded speech samples, we obtained a
number of phonetic parameters. The sound files for each of the five tasks
for each participant started and ended with the participant's voice, excluding the assessor's instructions. The assessorwould sometimes provide
a prompt (e.g., “Can you say anythingmore about that?”) up to two
times if a participant stopped short of the two-minute mark for the first
three speech elicitation activities. Despite the prompts, some participants'
speaking fell short of two minutes. Recordings longer than two minutes
were not reduced. The recordings of twelve tasks (from ten subjects)
were excluded because they were acoustically compromised and it was
not possible to extract reliable information from them.
A linguist used the computer programVoiceSauce (Shue, 2010) to extract
the phonetic linguistic parameter of pitch (F0). Pitch is only present
when the vocal folds are vibrating, as they are for the articulation of
vowels (and some consonants). The computer program WaveSurfer
1.8.8 (Medina and Solorio, 2006) was used to extract intensity readings.
The pitch (F0) and intensity readings were taken every 10 milliseconds,
and using those instances in which voicing (vocal fold vibration) was
present, the following were calculated for each speaker, for each task.
First, standard deviation of F0 (SD of F0) is variability in pitch (a larger
number meaning a greater range of pitch during voicing). Second, variability
in intensity/loudness was computed as an average of the average
SDs of intensity changes over a 20-second window. For the third and
fourth measures, the computer program Prosogram (Mertens, 2004) via
Praat (Boersma and Weenink, 2015) was used to automatically delineate
the vowels in the audiorecordings. Themidpoint of the vowel resonances
(F1 and F2)were extracted for every delineated vowel using a Praat script
(Lennes, 2003), run on audiorecordings of female speakers with the setting
of five formants expected in the first 5500 Hz, and on the
audiorecordings of male speakers with the setting of five formants expected
in the first 5000 Hz. The important resonances for vowels (F1
and F2) correspond to the shape of various parts of the vocal tract during
their articulation. Specifically, F1 indicates jaw/mouth opening and thus
tongue height (tongue height goes along with jaw opening; as the jaw
drops, the tongue lowers), and F2 corresponds to tongue front/back position
and/or lip rounding. For each speaker, for each task, we calculated SD
of F1 and SD of F2. In order to identify datapoints that were outliers, all
raw measurements were standardized for each speaker across all tasks,
and datapoints that had a z-score N3.29 or b−3.29 were discarded. Outliers
were generally of two kinds: spurious values from the automated
measurements, and data points from the short interjections from the experimenter
that were present in some tasks.
For F1 and F2, measurements were converted to Bark, a perceptual
scale that is essentially linear at lower levels and logarithmic at higher
levels, reflecting how human perception of Hz works (i.e., a greater increase
in Hz is needed at higher levels reflecting how human perception of Hz works (i.e., a greater increase
in Hz is needed at higher levels to get the same perceptual increase).
For intensity/loudness, we wrote a script that only used
datapoints that were from definitely voiced segments (“definitely”
found by not only an F0 (voicing) measurement for that datapoint but
also for the ones before and after it). Specifically, we computed a moving
average over a particular length of time, since neither very short
nor very long variations are of interest (i.e., we were not interested in
the difference between syllables in the same word, nor loudness
changes over a period of minutes,which are probably due to the speaker
getting farther away fromthemicrophone or getting tired). Because this
was not an a priori variable andwas computed only after the conclusion
of data collection, we could not be sure that the microphone/recorder
was placed in the exact same position for participants recruited in
Washington, D.C. (where several offices with different seating arrangements
were used for assessments); variation in recorder placement
could affect intensity/loudness. For this reason, only participants recruited
from New York were included in the computation of this variable,
as we were confident that the recorder was consistently placed
in the same position at those sites.toreflecting how human perception of Hz works (i.e., a greater increase
in Hz is needed at higher levels to get the same perceptual increase).
For intensity/loudness, we wrote a script that only used
datapoints that were from definitely voiced segments (“definitely”
found by not only an F0 (voicing) measurement for that datapoint but
also for the ones before and after it). Specifically, we computed a moving
average over a particular length of time, since neither very short
nor very long variations are of interest (i.e., we were not interested in
the difference between syllables in the same word, nor loudness
changes over a period of minutes,which are probably due to the speaker
getting farther away fromthemicrophone or getting tired). Because this
was not an a priori variable andwas computed only after the conclusion
of data collection, we could not be sure that the microphone/recorder
was placed in the exact same position for participants recruited in
Washington, D.C. (where several offices with different seating arrangements
were used for assessments); variation in recorder placement
could affect intensity/loudness. For this reason, only participants recruited
from New York were included in the computation of this variable,
as we were confident that the recorder was consistently placed
in the same position at those sites.reflecting how human perception of Hz works (i.e., a greater increase
in Hz is needed at higher levels to get the same perceptual increase).
For intensity/loudness, we wrote a script that only used
datapoints that were from definitely voiced segments (“definitely”
found by not only an F0 (voicing) measurement for that datapoint but
also for the ones before and after it). Specifically, we computed a moving
average over a particular length of time, since neither very short
nor very long variations are of interest (i.e., we were not interested in
the difference between syllables in the same word, nor loudness
changes over a period of minutes,which are probably due to the speaker
getting farther away fromthemicrophone or getting tired). Because this
was not an a priori variable andwas computed only after the conclusion
of data collection, we could not be sure that the microphone/recorder
was placed in the exact same position for participants recruited in
Washington, D.C. (where several offices with different seating arrangements
were used for assessments); variation in recorder placement
could affect intensity/loudness. For this reason, only participants recruited
from New York were included in the computation of this variable,
as we were confident that the recorder was consistently placed
in the same position at those sites.reflecting how human perception of Hz works (i.e., a greater increase
in Hz is needed at higher levels to get the same perceptual increase).
For intensity/loudness, we wrote a script that only used
datapoints that were from definitely voiced segments (“definitely”
found by not only an F0 (voicing) measurement for that datapoint but
also for the ones before and after it). Specifically, we computed a moving
average over a particular length of time, since neither very short
nor very long variations are of interest (i.e., we were not interested in
the difference between syllables in the same word, nor loudness
changes over a period of minutes,which are probably due to the speaker
getting farther away fromthemicrophone or getting tired). Because this
was not an a priori variable andwas computed only after the conclusion
of data collection, we could not be sure that the microphone/recorder
was placed in the exact same position for participants recruited in
Washington, D.C. (where several offices with different seating arrangements
were used for assessments); variation in recorder placement
could affect intensity/loudness. For this reason, only participants recruited
from New York were included in the computation of this variable,
as we were confident that the recorder was consistently placed
in the same position at those sites. get the same perceptual increase).
For intensity/loudness, we wrote a script that only used
datapoints that were from definitely voiced segments (“definitely”
found by not only an F0 (voicing) measurement for that datapoint but
also for the ones before and after it). Specifically, we computed a moving
average over a particular length of time, since neither very short
nor very long variations are of interest (i.e., we were not interested in
the difference between syllables in the same word, nor loudness
changes over a period of minutes,which are probably due to the speaker
getting farther away fromthemicrophone or getting tired). Because this
was not an a priori variable andwas computed only after the conclusion
of data collection, we could not be sure that the microphone/recorder
was placed in the exact same position for participants recruited in
Washington, D.C. (where several offices with different seating arrangements
were used for assessments); variation in recorder placement
could affect intensity/loudness. For this reason, only participants recruited
from New York were included in the computation of this variable,
as we were confident that the recorder was consistently placed
in the same position at those sites.",F0 sd,NA,NA,40,42,The aprosody of schizophrenia: Computationally derived acoustic phonetic underpinnings of monotone speech.,"Compton, M. T., Lunden, A., Cleary, S. D., Pauselli, L., Alolayan, Y., Halpern, B., ... & Bernardini, F. (2018).",2018,Compton et al. (2018)_1,94,101,NA,NA,NA,NA,38.692565055762074,24.799628252788107,37.35296296296296,24.157037037037036,NA
"reflecting how human perception of Hz works (i.e., a greater increase
in Hz is needed at higher levels to get the same perceptual increase).
For intensity/loudness, we wrote a script that only used
datapoints that were from definitely voiced segments (“definitely”
found by not only an F0 (voicing) measurement for that datapoint but
also for the ones before and after it). Specifically, we computed a moving
average over a particular length of time, since neither very short
nor very long variations are of interest (i.e., we were not interested in
the difference between syllables in the same word, nor loudness
changes over a period of minutes,which are probably due to the speaker
getting farther away fromthemicrophone or getting tired). Because this
was not an a priori variable andwas computed only after the conclusion
of data collection, we could not be sure that the microphone/recorder
was placed in the exact same position for participants recruited in
Washington, D.C. (where several offices with different seating arrangements
were used for assessments); variation in recorder placement
could affect intensity/loudness. For this reason, only participants recruited
from New York were included in the computation of this variable,
as we were confident that the recorder was consistently placed
in the same position at those sites.",F0 sd,NA,NA,40,42,The aprosody of schizophrenia: Computationally derived acoustic phonetic underpinnings of monotone speech.,"Compton, M. T., Lunden, A., Cleary, S. D., Pauselli, L., Alolayan, Y., Halpern, B., ... & Bernardini, F. (2018).",2018,Compton et al. (2018)_2,62,68,NA,NA,NA,NA,38.62062780269058,26.795067264573994,35.09441860465116,22.19581395348837,NA
"The data analysis included, on the one hand, the
objective indices that are conventionally used in
the literature (Cozolino, 1983) and, on the other,
the assessments made by four independent judges
concerning the quality of the syntax and the
coherence of the texts. The objective indices were:
the length of the verbal productions (number of
words), the total duration of the productions (in
seconds), the verbal output (number of words per
second) and the frequency of silent pauses, verbalised
pauses (hesitations), immediate lexical repetitions
(words that were repeated or rewritten
instantaneously) and deferred lexical repetitions",Speech rate,NA,NA,41,43,"Written but not oral verbal production is preserved in young schizophrenic patients. Psychiatry research, 111(2), 137-145.","Salomé, F., Boyer, P., & Fayol, M.",2002,Salomè et al. (2002),10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The voices of the interviewers and the patients were
recorded on separate channels of a digital audio tape
deck, each using a condenser microphone worn on the
head. Interviews were open-ended and conversational,
and were designed to capture the characteristic dyadic interaction
of our subjects. We selected 3-minute samples
from near the beginning of longer interviews, starting
with a question from the interviewer and continuing in
a reasonably interactive discussion. Three of the samples were edited on a personal computer (PC), using a sound
board and commercially available software (Digital
Audio Labs). There were three versions for each patient
sample; one version was created with increased pause
duration, another with decreased pause duration, and
there was the unmodified version (that had also been
passed through the soundboard as a control for any
audible effects that might result from the editing process).
Interviewer samples were not modified. The software
graphically presents the speech and silence
waveform with minute detail, and makes it possible to
hear the playback while viewing it on the PC monitor",Pause duration,NA,NA,42,44,Cues to the assessment of affects and moods: Speech fluency and pausing. tin.,"Alpert, M., Pouget, E. R., Sison, C., Yahia, M., & Allan, E.",1995,Alpert et al. (1995),6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specifically, for each speaking task we used an energy based
Utterance-Silence segmentation from which we extracted utterance and gap
statistics (e.g. mean utterance duration). We then used the YIN pitch
detection algorithm (de Cheveign & Kawahara, 2002) to detect pitched
segments (among uttered segments) and to further segment the Uttered
segments into Voiced-Unvoiced segments, followed by the extraction of
power and pitch related statistics (e.g. Inflection, Emphasis). We then used
pitched segments to refer to the finer resolution of ‘cycle to cycle’ variation
and extract micro-scale statistics (e.g. Jitter, Shimmer","Utterance duration, speech percentage, pause durarion, emphasis",NA,NA,43,45,Evidence for depression and schizophrenia in speech prosody. In Third ISCA Workshop on Experimental Linguistics.,"Kliper, R., Vaizman, Y., Weinshall, D., & Portuguese, S.",2010,Kliper et al. (2010),22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recordings were made by a headset without sound
isolation or calibration. To prepare the recordings for acoustic analysis, the audio
tapes were digitized at a 44:1 kHz sampling rate. Acoustic analysis was conducted
using MATLAB [18] (details are given in Section 2.1). Average length of a clinical
interview was: schizophrenia - 57m 13s, depression - 30m 31s, healthy - 48m 46s.
Silence was automatically removed at the beginning and end of each recording,
while the remaining data was normalized to have 0 mean and variance 1, thus
avoiding e ects caused by the constellation of the headset. To enable e cient
handling of the data each interview was divided into 2 minutes segments, which
were subsequently analyzed independently. All results from a single person's 2
minutes segments were later used together for classi cation. See paper for remainig information","recordings were made by a headset without sound
isolation or calibration. To prepare the recordings for acoustic analysis, the audio
tapes were digitized at a 44:1 kHz sampling rate. Acoustic analysis was conducted
using MATLAB [18] (details are given in Section 2.1). Average length of a clinical
interview was: schizophrenia - 57m 13s, depression - 30m 31s, healthy - 48m 46s.
Silence was automatically removed at the beginning and end of each recording,
while the remaining data was normalized to have 0 mean and variance 1, thus
avoiding e ects caused by the constellation of the headset. To enable e cient
handling of the data each interview was divided into 2 minutes segments, which
were subsequently analyzed independently. All results from a single person's 2
minutes segments were later used together for classi cation. See paper for remainig information","Utterance duration, speech percentage, pause duration, pitch variability",NA,44,46,Prosodic Analysis of Speech and the Underlying Mental State.,"Kliper, R., Portuguese, S., & Weinshall, D.",2015,Kliper et al. (2015),22,20,NA,NA,NA,NA,0.0992,0.0024,0.0924,0.0044,sd of pitch for sentence
"Subjects’ verbal responses were taped on a
second Marantz PMD 340 recorder using a
Shure SM12A microphone mounted on an
adjustable boom attached to a headset that was
positioned just to the side of the subjects’ air
stream. Although detailed acoustic measures
have been developed to quantify affective
prosody,50 51 these methods are not necessary
when analyzing affective prosody in English.
English speakers impart affect in their speech
predominantly through changes of pitch over
time (intonation).13 51 52 The most salient
acoustic correlate of pitch is fundamental
frequency (F0), which is equal to the number of
vocal fold vibrations per unit of time.52 By
measuring the change of F0 across a series of
affective utterances, affective prosody can be
quantified sufficiently so as to easily distinguish
between normal and abnormal performances.
7 13
The subjects’ voice recordings were analyzed
using a PM Pitch Analyzer (Voice Identification
Inc) which extracts F0 in Hz from the
speech signal and displays the data on a
cathode ray tube. Simultaneously, via a program
written using Quick Basic and Macro
Assembler languages (Micosoft, Inc), the F0
data generated by the pitch analyzer was transferred
to a personal computer (Gateway, Inc)
at a sampling rate of 10 ms. By using programmable
cursors on the pitch analyzer, stray data
points caused by microphone artifacts, voice
break-ups, and other sampling errors were
removed. The computer program then calculated
a coefficient of variation (CV) for each
utterance. After all the data were completely
entered, a mean CV% was calculated for the 12
sentences (F0-CV%) comprising each affective
set and for 10 seconds of spontaneous
speech.7",Pitch F0 sd,NA,NA,45,47,Affective-prosodic deficits in schizophrenia: profiles of patients with brain damage and comparison with relation to schizophrenic symptoms.,"Ross, E. D., Orbelo, D. M., Cartwright, J., Hansel, S., Burgard, M., Testa, J. A., & Buck, R.",2001,Ross et al. (2001)_1,45,19,NA,NA,NA,NA,17.621,3.273,11.338,4.051,NA
"Subjects’ verbal responses were taped on a
second Marantz PMD 340 recorder using a
Shure SM12A microphone mounted on an
adjustable boom attached to a headset that was
positioned just to the side of the subjects’ air
stream. Although detailed acoustic measures
have been developed to quantify affective
prosody,50 51 these methods are not necessary
when analyzing affective prosody in English.
English speakers impart affect in their speech
predominantly through changes of pitch over
time (intonation).13 51 52 The most salient
acoustic correlate of pitch is fundamental
frequency (F0), which is equal to the number of
vocal fold vibrations per unit of time.52 By
measuring the change of F0 across a series of
affective utterances, affective prosody can be
quantified sufficiently so as to easily distinguish
between normal and abnormal performances.
7 13
The subjects’ voice recordings were analyzed
using a PM Pitch Analyzer (Voice Identification
Inc) which extracts F0 in Hz from the
speech signal and displays the data on a
cathode ray tube. Simultaneously, via a program
written using Quick Basic and Macro
Assembler languages (Micosoft, Inc), the F0
data generated by the pitch analyzer was transferred
to a personal computer (Gateway, Inc)
at a sampling rate of 10 ms. By using programmable
cursors on the pitch analyzer, stray data
points caused by microphone artifacts, voice
break-ups, and other sampling errors were
removed. The computer program then calculated
a coefficient of variation (CV) for each
utterance. After all the data were completely
entered, a mean CV% was calculated for the 12
sentences (F0-CV%) comprising each affective
set and for 10 seconds of spontaneous
speech.7",Pitch F0 sd,NA,NA,45,47,Affective-prosodic deficits in schizophrenia: profiles of patients with brain damage and comparison with relation to schizophrenic symptoms.,"Ross, E. D., Orbelo, D. M., Cartwright, J., Hansel, S., Burgard, M., Testa, J. A., & Buck, R.",2001,Ross et al. (2001)_2,45,19,NA,NA,NA,NA,24.847,2.589,20.269,4.834,NA
